comment,label
youtube#comment,3957190,32921,52362,1618848,UR SO CUTE AND PRETTY ❤❤,,0,2024-10-23 13:11:08+00:00,2024-10-23 13:11:08+00:00
youtube#comment,3248038,12513,41135,2318842,you both are so pretty even without makeup,,0,2020-03-23 17:11:06+00:00,2020-03-23 17:11:06+00:00
youtube#comment,2415121,25589,55959,2132267,She’s so pretty! And prettier without makeup,,0,2023-01-15 05:07:30+00:00,2023-01-15 05:07:30+00:00
youtube#comment,3084132,7888,32663,916890,Wait you look pretty lol,,0,2025-06-13 17:48:46+00:00,2025-06-13 17:48:46+00:00
youtube#comment,1705513,28204,30506,318864,You are literally so pretty like I wish!!! ❤😍,,1,2023-03-25 21:18:10+00:00,2023-03-25 21:18:10+00:00
youtube#comment,4506701,20114,64178,1649060,Wow! She's very pretty.,,0,2023-04-07 20:44:10+00:00,2023-04-07 20:44:10+00:00
youtube#comment,1540706,40491,26325,1576142,You're so pretty and the blond was good but I kind of like this color better LOL laugh out loud it's so freaking cool girl let me tell you something right now something funny faith faith my name is,,0,2021-01-23 19:48:20+00:00,2021-01-23 19:48:20+00:00
youtube#comment,3062187,15003,14822,2395267,You r so pretty I wish I had ur beauty you are awesome you have so much self confidence and I love you!! ❤❤❤❤,,0,2023-03-17 16:56:28+00:00,2023-03-17 16:56:28+00:00
youtube#comment,865789,38688,3013,2204968,Wow so so pretty. That goes to show longer is not always better. 😊,,0,2025-05-02 01:30:34+00:00,2025-05-02 01:30:34+00:00
youtube#comment,4448758,45729,34874,1788068,Very pretty even without hair ❤😊,,1,2023-05-16 23:45:19+00:00,2023-05-16 23:45:19+00:00
youtube#comment,2579809,45729,52405,1359191,Girl your so pretty with and without makeup ❤❤❤❤❤❤❤,,1,2023-03-06 22:52:31+00:00,2023-03-06 22:52:31+00:00
youtube#comment,1473978,1738,70034,1218646,Girl your so pretty wow😊😊,,1,2025-02-25 15:52:37+00:00,2025-02-25 15:52:37+00:00
youtube#comment,4678888,21291,39223,596052,Looking so pretty 😍😍,,0,2023-11-29 09:41:28+00:00,2023-11-29 09:41:28+00:00
youtube#comment,393669,47681,69814,2337334,Aw thank you so much!🩶😊,4161296,0,2024-08-19 03:25:09+00:00,2024-08-19 03:25:09+00:00
youtube#comment,3739456,50934,21381,2458954,❤ beautiful,,0,2023-04-12 02:55:57+00:00,2023-04-12 02:55:57+00:00
youtube#comment,4713211,53455,26078,1532447,Only the first girl I see who makeup nicely 😱😍love you Di😘,,1,2021-09-21 09:15:33+00:00,2021-09-21 09:15:33+00:00
youtube#comment,3326940,45729,4110,1231458,You are so beautiful,,0,2024-09-15 16:01:03+00:00,2024-09-15 16:01:03+00:00
youtube#comment,1154826,18073,68994,1403122,I'm in love with thissss 😍😍😍,,0,2021-08-04 17:36:27+00:00,2021-08-04 17:36:27+00:00
youtube#comment,679305,44353,83195,1217832,You look beautiful 😍,,0,2025-03-21 11:03:08+00:00,2025-03-21 11:03:08+00:00
youtube#comment,1208903,45729,30729,3527887,HOW ARE YOU SO GORGEOUS,,0,2023-12-26 07:24:42+00:00,2023-12-26 07:24:42+00:00
youtube#comment,2220418,11336,59031,2655785,You are already pretty,,0,2023-10-10 15:30:37+00:00,2023-10-10 15:30:37+00:00youtube#comment,867095,23924,28291,1723550,She's a generic supermodel to me. No personality at all. She's not pleasant to look at. We need more models with unique personality and a bit more relatable. Not a boujee fashion model. A breath of fresh air. It's so tiring to see a supermodel like this.,,3,2020-09-18 02:21:14+00:00,2020-09-18 02:25:50+00:00
youtube#comment,3710934,17753,70504,341194,I think its beatiful without make up,,0,2025-03-16 19:11:21+00:00,2025-03-16 19:11:21+00:00
youtube#comment,2598137,526,28987,422041,Wow mam so beautiful makeup god bless you 🤩,,1,2024-10-27 14:12:29+00:00,2024-10-27 14:12:29+00:00
youtube#comment,1818941,9690,71370,101034,You look so pretty with that hair color,,0,2023-10-21 14:55:19+00:00,2023-10-21 14:55:19+00:00
youtube#comment,2320958,21411,68637,2722802,Aaaaa so pretty❤❤,,0,2024-07-27 22:35:02+00:00,2024-07-27 22:35:02+00:00
youtube#comment,3718673,14489,21152,1055526,You’re so pretty even without the makeup!❤,,17,2025-04-23 01:21:42+00:00,2025-04-23 01:21:42+00:00
youtube#comment,1520245,18073,51351,2951807,Day Night look so beautiful ❤️❤️🥰,,0,2022-11-01 07:44:27+00:00,2022-11-01 07:44:27+00:00
youtube#comment,3402165,31541,62070,2364635,Wow so beautiful you are makeup doing,,1,2021-05-12 08:27:28+00:00,2021-05-12 08:27:28+00:00
youtube#comment,1016256,891,82087,2276537,literally looked better before makeup,,0,2021-06-22 12:41:39+00:00,2021-06-22 12:41:39+00:00
youtube#comment,3208009,29048,88850,3561009,You're so cute 😍,,0,2022-08-13 15:34:21+00:00,2022-08-13 15:34:21+00:00
youtube#comment,4336271,21263,23149,2805349,Wowwwww❤❤❤,,0,2023-12-17 21:53:58+00:00,2023-12-17 21:53:58+00:00
youtube#comment,4544134,40299,92477,2724486,"Awesome video, thank you!  As a 67 year old Hispanic woman, I am definitely NOT represented in the make up world.  I find it even more disturbing when when you go to a store and I experience these sales people selling us items that 18-25 year olds wear that make us look ridiculous!!!!  It breaks my heart.",,0,2020-11-20 11:56:29+00:00,2020-11-20 11:56:29+00:00
youtube#comment,3392872,20114,64178,1908726,It’s cute pretty and soooooo beautiful,,0,2023-03-09 18:21:00+00:00,2023-03-09 18:21:00+00:00
youtube#comment,2193519,29092,18882,293759,"Amazing!  I'm 53 and was wondering how to deal with the now downturning eyes!   Great tutorial, gorgeous!",,0,2021-02-11 00:41:10+00:00,2021-02-11 00:41:10+00:00
youtube#comment,4674054,33870,24907,2048783,"u could hear the mom gasp, that just shows u how special this moment was in this little girls life",,0,2024-11-11 12:52:18+00:00,2024-11-11 12:52:18+00:00
youtube#comment,1149474,19753,8879,1825823,I love her n her personality and she is absolutely gorgeous n sincere in her recommendations. God bless her 🤲🏻💚💚,,6,2021-12-07 03:14:19+00:00,2021-12-07 03:14:19+00:00
youtube#comment,4060232,14492,18248,625764,"You look so beautiful with and without makeup 
youtube#comment,2420367,49763,51764,2993231,"all I can see are 3 beautiful ladies
youtube#comment,946520,9690,71370,404052,Omg that so pretty,,0,2023-09-27 11:55:11+00:00,2023-09-27 11:55:11+00:00
