negative person and fraud penn,negative
Wtf gross.,negative
ACRYLIC AND DIP ARE THE SAME DAMN THING 🤦🏾‍♀️ Pls stop the madness wtf,negative
wtf are you talking about 😂😂😂 I don’t even know if YOU know what you’re talking about. We all heard her say ariel in the video.,negative
Hold up but what do i tell them when i wanna get it cuz like everyone i go to im like hey can i get the butterfly cut and these people r like im srryy WTF IS THAT?!?!?! Then i show a pic of farah fawcett cuz like ya and then theyre like ohhhh so u want layers im like ok sure and they did the layers choppyyyyyyy affffffffffff halpppp,negative
Wtf did I just watch 💀. I wanna kms,negative
🤮🤮🤮,negative
"Okay but why would you bring a little girl to such a raunchy concert!? Megan’s rapping about throwing ass and fuck niggas, wtf would go through a parents head to subject a child to that type of shit!?🤦🏽‍♀️ ofcourse she’s uncomfortable. Kylie doesn’t get points for that shit, she’s clearly a little slow.",negative
"Wtf bro. I assume you going to do all this for a girl attention. However, what about when she finds out you are take longer than her to get ready. Lolll be a man",negative
wtf is he gay lmao,negative
🤮🤮🤮🤮🤮🤮🥶,negative
Complete bullshit . 😂 lol 🤣  Do people really believe this crap. 😂,negative
Leave the fuck makeup for girls bitch,negative
Trying to enjoy yer vid but damn dude I am hung up on your mom saying you have “childbearing hips”…………… The fuck is wrong w her 😅😅😅,negative
what the fuck there is no way people actually do this,negative
Eww that shit looks gay as fuck,negative
bro boys cannot wear makeup you dumb fuck you,negative
bruh this shit is straight up gay who the fuck uses makeup,negative
bullshit. these are basic yee yee ass haircuts,negative
"Unpopular opinion,don't nobody give a shit",negative
I feel like thats worse,negative
How does it get worse with every frame when you are absolutely stunning with or without makeup? ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ The very thought is hilarious ðŸ˜‚ ðŸ˜‚ðŸ˜‚ â¤,negative
Still waiting for the worse part..,negative
I’m black and i think im ugly so this makes it worse,negative
"I’m sorry I’m not trying to fat shame you or bully you but promoting being fat isn’t a good thing and being fat also isn’t good for your health, it could lead to multiple health issues. I’m trying to say this in the nicest way possible but at least you’re confident!",negative
Gay as hell,negative
👎👎👎👎👎👎👎,negative
🤢🤢🤢🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,negative
Personally I would never date a guy who doesn't take care of his skin.,negative
Why the hell do I think she looks better without a wig on,negative
Ewwwwwwwwwwww,negative
You hairs are looking yuk😖😖 and  ugly,negative
"bruh thats gay, u lucky this aint insta",negative
These liberal women always crying about some “cultural” war. Lol weak,negative
